NO,DATE,PRICE (PHP per kg),MANUFACTURING PARTNER,COCONUT VARIETY,CLIMATE SEASON,HARVEST SEASON,QUANTITY SOLD
1,1/1/2017,,RGS,,DRY,,
2,1/1/2017,,LASWERTE,,DRY,,
3,1/1/2017,,BANGAYAN,,DRY,,
4,1/1/2017,,ASIACOM,,DRY,,
5,1/1/2017,,CARGILL,,DRY,,
6,1/1/2017,,PHIDCO,,DRY,,
7,1/2/2017,,RGS,,DRY,,
8,1/2/2017,,LASWERTE,,DRY,,
9,1/2/2017,,BANGAYAN,,DRY,,
10,1/2/2017,,ASIACOM,,DRY,,
11,1/2/2017,,CARGILL,,DRY,,
12,1/2/2017,,PHIDCO,,DRY,,
13,1/3/2017,PHP 40.27,RGS,PCA 15-1 (CATD x LAGT),DRY,,25.1
14,1/3/2017,PHP 40.27,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,23.4
15,1/3/2017,PHP 40.27,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,21.5
16,1/3/2017,PHP 40.27,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,24.8
17,1/3/2017,PHP 40.27,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,24.7
18,1/3/2017,PHP 42.13,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,23.7
19,1/4/2017,PHP 40.27,RGS,PCA 15-1 (CATD x LAGT),DRY,,25.5
20,1/4/2017,PHP 40.27,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,25.5
21,1/4/2017,PHP 40.27,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,24.3
22,1/4/2017,PHP 40.27,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,23.1
23,1/4/2017,PHP 40.27,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,20.8
24,1/4/2017,PHP 42.13,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,25.4
25,1/5/2017,PHP 40.27,RGS,PCA 15-1 (CATD x LAGT),DRY,,21.9
26,1/5/2017,PHP 40.27,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,25.1
27,1/5/2017,PHP 40.27,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,21.4
28,1/5/2017,PHP 40.27,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,21.4
29,1/5/2017,PHP 40.27,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,21.1
30,1/5/2017,PHP 42.13,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,22.4
31,1/6/2017,PHP 40.27,RGS,PCA 15-1 (CATD x LAGT),DRY,,23.6
32,1/6/2017,PHP 40.27,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,22.8
33,1/6/2017,PHP 40.27,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,25.2
34,1/6/2017,PHP 40.27,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,20.7
35,1/6/2017,PHP 40.27,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,24.4
36,1/6/2017,PHP 42.13,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,24.5
37,1/7/2017,,RGS,,DRY,,
38,1/7/2017,,LASWERTE,,DRY,,
39,1/7/2017,,BANGAYAN,,DRY,,
40,1/7/2017,,ASIACOM,,DRY,,
41,1/7/2017,,CARGILL,,DRY,,
42,1/7/2017,,PHIDCO,,DRY,,
43,1/8/2017,,RGS,,DRY,,
44,1/8/2017,,LASWERTE,,DRY,,
45,1/8/2017,,BANGAYAN,,DRY,,
46,1/8/2017,,ASIACOM,,DRY,,
47,1/8/2017,,CARGILL,,DRY,,
48,1/8/2017,,PHIDCO,,DRY,,
49,1/9/2017,PHP 40.27,RGS,PCA 15-1 (CATD x LAGT),DRY,,22.0
50,1/9/2017,PHP 40.27,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,23.0
51,1/9/2017,PHP 40.27,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,22.0
52,1/9/2017,PHP 40.27,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,22.7
53,1/9/2017,PHP 40.27,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,25.0
54,1/9/2017,PHP 42.13,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,23.9
55,1/10/2017,PHP 40.27,RGS,PCA 15-1 (CATD x LAGT),DRY,,21.7
56,1/10/2017,PHP 40.27,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,22.7
57,1/10/2017,PHP 40.27,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,24.6
58,1/10/2017,PHP 40.27,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,22.8
